model_name, vector_size, start, end, nb_zones, metric, mode, tran_size, val_size, test_size, train_pct_size, val_pct_size, test_pct_size, train_acc, val_acc, test_acc, all_acc, F1_train, recall_train, roc_auc_train, F1_val, recall_val, roc_auc_val, F1_test, recall_test, roc_auc_test, F1_all, recall_all, roc_auc_all
ensemble_model_N80_B0_E80_nb_zones_12_highest_sv_std_filters_svdne,80,0,80,12, highest_sv_std_filters, svdne,636,212,212,0.6,0.2,0.2, [0.78125    0.703125   0.84375    0.8015873  0.79365079],0.782258064516129,0.838709677419355,0.94683257918552,1,1,1,0.823529411764706,0.887323943661972,0.764416688812118,0.833333333333333,0.943396226415094,0.851979803348392,0.948294829482948,0.975113122171945,0.94683257918552
ensemble_model_N60_B0_E60_nb_zones_10_highest_sv_std_filters_svdne,60,0,60,10, highest_sv_std_filters, svdne,530,176,176,0.600907029478458,0.199546485260771,0.199546485260771, [0.79245283 0.64150943 0.77358491 0.76415094 0.74528302],0.778409090909091,0.829545454545455,0.921768707482993,1,1,1,0.797927461139896,0.802083333333333,0.776041666666667,0.817073170731707,0.8375,0.830208333333333,0.922209695603157,0.927437641723356,0.921768707482993
ensemble_model_v2_N60_B0_E60_nb_zones_12_highest_wave_sv_std_filters_svdne,60,0,60, zones, highest_wave_sv_std_filters, svdne,626,208,208,0.600767754318618,0.199616122840691,0.199616122840691, [0.75396825 0.80952381 0.82539683 0.80645161 0.78225806],0.751937984496124,0.821705426356589,0.930995475113122,0.99047619047619,0.996805111821086,0.990415335463259,0.777777777777778,0.903225806451613,0.757583052479538,0.839160839160839,0.895522388059701,0.818728935965335,0.933478735005452,0.968325791855204,0.930995475113122
ensemble_model_N32_B0_E32_nb_zones_12_highest_sv_std_filters_svdne,32,0,32,12, highest_sv_std_filters, svdne,676,225,225,0.600355239786856,0.199822380106572,0.199822380106572, [0.71323529 0.75       0.76470588 0.75373134 0.74626866],0.692307692307692,0.817307692307692,0.942307692307692,1,1,1,0.68,0.596491228070175,0.702500933184024,0.776470588235294,0.702127659574468,0.807204180664427,0.940766550522648,0.916289592760181,0.942307692307692
ensemble_model_N16_B0_E16_nb_zones_4_highest_wave_sv_std_filters_svdne,16,0,16,4, highest_wave_sv_std_filters, svdne,204,68,68,0.6,0.2,0.2, [0.71428571 0.64285714 0.65       0.725      0.625     ],0.808823529411765,0.794117647058823,0.920588235294118,1,1,1,0.826666666666667,0.794871794871795,0.811229000884173,0.805555555555556,0.743589743589744,0.802829354553492,0.923076923076923,0.9,0.921875
ensemble_model_v2_N80_B0_E80_nb_zones_6_highest_wave_sv_std_filters_svdne,80,0,80, zones, highest_wave_sv_std_filters, svdne,346,115,115,0.600694444444444,0.199652777777778,0.199652777777778, [0.8        0.82857143 0.75714286 0.86764706 0.85294118],0.756521739130435,0.8,0.90625,0.99135446685879,0.994219653179191,0.991329479768786,0.774193548387097,0.75,0.757352941176471,0.8,0.821428571428571,0.800544794188862,0.907849829351536,0.907849829351536,0.906221734463754
ensemble_model_N40_B0_E40_nb_zones_4_highest_wave_sv_std_filters_svdne,40,0,40,4, highest_wave_sv_std_filters, svdne,216,72,72,0.6,0.2,0.2, [0.70454545 0.61363636 0.75       0.73809524 0.78571429],0.763888888888889,0.791666666666667,0.911111111111111,1,1,1,0.804597701149425,0.853658536585366,0.749409913453973,0.794520547945205,0.878787878787879,0.798368298368298,0.914893617021277,0.945054945054945,0.910729719718483
ensemble_model_N80_B0_E80_nb_zones_12_highest_sv_std_filters_svd,80,0,80,12, highest_sv_std_filters, svd,666,222,222,0.6,0.2,0.2, [0.70895522 0.74626866 0.70895522 0.70454545 0.68181818],0.81651376146789,0.798165137614679,0.952488687782805,1,1,1,0.827586206896552,0.905660377358491,0.818901617250674,0.810344827586207,0.839285714285714,0.797001347708895,0.953229398663697,0.968325791855204,0.952488687782806
ensemble_model_N80_B0_E80_nb_zones_4_lowest_sv_std_filters_svdne,80,0,80,4, lowest_sv_std_filters, svdne,236,78,78,0.602040816326531,0.198979591836735,0.198979591836735, [0.77083333 0.83333333 0.70833333 0.67391304 0.73913043],0.67948717948718,0.794871794871795,0.895408163265306,1,1,1,0.725274725274725,0.702127659574468,0.673644474948524,0.818181818181818,0.923076923076923,0.794871794871795,0.901204819277108,0.916666666666667,0.894503546099291
ensemble_model_v2_N80_B0_E80_nb_zones_4_highest_wave_sv_std_filters_svdn,80,0,80, zones, highest_wave_sv_std_filters, svdn,216,72,72,0.6,0.2,0.2, [0.93181818 0.81818182 0.75       0.80952381 0.80952381],0.708333333333333,0.791666666666667,0.9,1,1,1,0.704225352112676,0.78125,0.715625,0.794520547945205,0.828571428571429,0.792664092664093,0.9,0.925714285714286,0.900694980694981
ensemble_model_N80_B0_E80_nb_zones_10_highest_sv_std_filters_svd,80,0,80,10, highest_sv_std_filters, svd,536,178,178,0.600896860986547,0.199551569506726,0.199551569506726, [0.73148148 0.60185185 0.71296296 0.77358491 0.74528302],0.67816091954023,0.793103448275862,0.895927601809955,1,1,1,0.698924731182796,0.764705882352941,0.680105750165235,0.810526315789474,0.865168539325843,0.791407799074686,0.899122807017544,0.927601809954751,0.895927601809955
ensemble_model_N40_B0_E40_nb_zones_6_highest_sv_std_filters_svdne,40,0,40,6, highest_sv_std_filters, svdne,342,114,114,0.6,0.2,0.2, [0.74285714 0.83823529 0.80882353 0.77941176 0.67647059],0.780701754385965,0.789473684210526,0.914035087719298,1,1,1,0.778761061946903,0.88,0.7915625,0.785714285714286,0.814814814814815,0.790740740740741,0.91358024691358,0.941818181818182,0.91497688751926
ensemble_model_N32_B0_E32_nb_zones_12_highest_wave_sv_std_filters_svdne,32,0,32,12, highest_wave_sv_std_filters, svdne,668,222,222,0.600719424460432,0.199640287769784,0.199640287769784, [0.75373134 0.70149254 0.7761194  0.81343284 0.73484848],0.777777777777778,0.787037037037037,0.941176470588235,0.992548435171386,0.997005988023952,0.99251497005988,0.785714285714286,0.8,0.777358490566038,0.780952380952381,0.773584905660377,0.786792452830189,0.941441441441441,0.945701357466063,0.941176470588235
ensemble_model_v2_N32_B0_E32_nb_zones_6_highest_wave_sv_std_filters_svdne,32,0,32, zones, highest_wave_sv_std_filters, svdne,310,103,103,0.60077519379845,0.199612403100775,0.199612403100775, [0.75806452 0.82258065 0.77419355 0.82258065 0.80645161],0.621359223300971,0.786407766990291,0.881782945736434,1,1,1,0.635514018691589,0.693877551020408,0.624716553287982,0.792452830188679,0.807692307692308,0.786199095022624,0.883365200764818,0.90234375,0.881941105769231
ensemble_model_N80_B0_E80_nb_zones_6_highest_sv_std_filters_svdne,80,0,80,6, highest_sv_std_filters, svdne,326,108,108,0.601476014760148,0.199261992619926,0.199261992619926, [0.86363636 0.81818182 0.72727273 0.78125    0.6875    ],0.712962962962963,0.777777777777778,0.898523985239852,1,1,1,0.699029126213592,0.666666666666667,0.712962962962963,0.769230769230769,0.701754385964912,0.782249742002064,0.896810506566604,0.872262773722628,0.898817954025493
ensemble_model_v2_N60_B0_E60_nb_zones_10_highest_wave_sv_std_filters_svdne,60,0,60, zones, highest_wave_sv_std_filters, svdne,568,189,189,0.600422832980973,0.199788583509514,0.199788583509514, [0.86842105 0.85087719 0.76315789 0.80701754 0.8125    ],0.746835443037975,0.784810126582278,0.91289592760181,0.994727592267135,0.996478873239437,0.994718309859155,0.72972972972973,0.771428571428571,0.749350649350649,0.806818181818182,0.806818181818182,0.781980519480519,0.913773796192609,0.923076923076923,0.91289592760181
ensemble_model_v2_N40_B0_E40_nb_zones_4_highest_sv_std_filters_svdne,40,0,40, zones, highest_sv_std_filters, svdne,218,72,72,0.602209944751381,0.198895027624309,0.198895027624309, [0.72727273 0.72727273 0.79545455 0.75       0.69047619],0.736111111111111,0.777777777777778,0.903314917127072,1,1,1,0.732394366197183,0.65,0.746875,0.764705882352941,0.702702702702703,0.77992277992278,0.901960784313726,0.865591397849462,0.90438660801564
ensemble_model_v2_N32_B0_E32_nb_zones_12_highest_sv_std_filters_svd,32,0,32, zones, highest_sv_std_filters, svd,652,217,217,0.60036832412523,0.199815837937385,0.199815837937385, [0.8030303  0.72307692 0.69230769 0.73076923 0.71538462],0.663793103448276,0.775862068965517,0.920814479638009,0.992343032159265,0.993865030674847,0.992331288343558,0.682926829268293,0.666666666666667,0.663522012578616,0.759259259259259,0.773584905660377,0.775681341719077,0.920814479638009,0.920814479638009,0.920814479638009
ensemble_model_v2_N32_B0_E32_nb_zones_12_lowest_sv_std_filters_svdne,32,0,32, zones, lowest_sv_std_filters, svdne,670,223,223,0.600358422939068,0.199820788530466,0.199820788530466, [0.74626866 0.67910448 0.7761194  0.7761194  0.73880597],0.700934579439252,0.775700934579439,0.933257918552036,0.995502248875562,0.991044776119403,0.995522388059702,0.709090909090909,0.722222222222222,0.700733752620545,0.773584905660378,0.773584905660377,0.775681341719077,0.933182332955832,0.932126696832579,0.933257918552036
ensemble_model_v2_N80_B0_E80_nb_zones_10_highest_wave_sv_std_filters_svdne,80,0,80, zones, highest_wave_sv_std_filters, svdne,550,183,183,0.600436681222707,0.199781659388646,0.199781659388646, [0.84545455 0.80909091 0.9        0.82727273 0.84545455],0.760479041916168,0.772455089820359,0.911764705882353,1,1,1,0.78021978021978,0.797752808988764,0.757850763468741,0.771084337349398,0.82051282051282,0.775424949582253,0.913140311804009,0.927601809954751,0.911764705882353
