model_name, vector_size, start, end, nb_zones, metric, mode, tran_size, val_size, test_size, train_pct_size, val_pct_size, test_pct_size, train_acc, val_acc, test_acc, all_acc, F1_train, recall_train, roc_auc_train, F1_val, recall_val, roc_auc_val, F1_test, recall_test, roc_auc_test, F1_all, recall_all, roc_auc_all
svm_model_N4_B0_E4_nb_zones_4_highest_sv_std_filters_svd,4,0,4,4, highest_sv_std_filters, svd,116,38,38,0.604166666666667,0.197916666666667,0.197916666666667, [0.58333333 0.45833333 0.58333333 0.5        0.40909091],0.526315789473684,0.526315789473684,0.796875,0.973451327433628,0.948275862068966,0.974137931034483,0.666666666666667,0.75,0.446428571428571,0.653846153846154,0.944444444444444,0.547222222222222,0.821917808219178,0.9,0.792391304347826
svm_model_N8_B0_E8_nb_zones_4_lowest_sv_std_filters_svd,8,0,8,4, lowest_sv_std_filters, svd,116,38,38,0.604166666666667,0.197916666666667,0.197916666666667, [0.58333333 0.5        0.58333333 0.54545455 0.59090909],0.421052631578947,0.447368421052632,0.776041666666667,1,1,1,0.592592592592593,0.941176470588235,0.470588235294118,0.618181818181818,1,0.5,0.808888888888889,0.989130434782608,0.784565217391304
svm_model_N4_B0_E4_nb_zones_4_lowest_sv_std_filters_svd,4,0,4,4, lowest_sv_std_filters, svd,122,40,40,0.603960396039604,0.198019801980198,0.198019801980198, [0.65384615 0.70833333 0.625      0.625      0.625     ],0.475,0.575,0.811881188118812,1,1,1,0.644067796610169,0.95,0.475,0.73015873015873,1,0.5,0.844262295081967,0.990384615384615,0.806416797488226
svm_model_N8_B0_E8_nb_zones_4_highest_sv_std_filters_svd,8,0,8,4, highest_sv_std_filters, svd,124,41,41,0.601941747572815,0.199029126213592,0.199029126213592, [0.46153846 0.57692308 0.5        0.58333333 0.5       ],0.560975609756098,0.536585365853659,0.805825242718447,0.976377952755905,1,0.975806451612903,0.7,0.954545454545455,0.529904306220096,0.666666666666667,1,0.568181818181818,0.836065573770492,0.990291262135922,0.805825242718446
svm_model_N16_B0_E16_nb_zones_4_highest_sv_std_filters_svd,16,0,16,4, highest_sv_std_filters, svd,116,38,38,0.604166666666667,0.197916666666667,0.197916666666667, [0.58333333 0.5        0.5        0.5        0.54545455],0.342105263157895,0.5,0.770833333333333,1,1,1,0.509803921568628,1,0.5,0.666666666666667,1,0.5,0.803571428571429,1,0.784313725490196
svm_model_N16_B0_E16_nb_zones_4_lowest_sv_std_filters_svd,16,0,16,4, lowest_sv_std_filters, svd,112,37,37,0.602150537634409,0.198924731182796,0.198924731182796, [0.5        0.5        0.54545455 0.5        0.5       ],0.540540540540541,0.45945945945946,0.801075268817204,1,1,1,0.701754385964912,1,0.5,0.62962962962963,1,0.5,0.834080717488789,1,0.801075268817204
svm_model_N26_B0_E26_nb_zones_4_lowest_sv_std_filters_svd,26,0,26,4, lowest_sv_std_filters, svd,116,38,38,0.604166666666667,0.197916666666667,0.197916666666667, [0.5        0.54166667 0.58333333 0.5        0.5       ],0.631578947368421,0.578947368421053,0.84375,1,1,1,0.774193548387097,1,0.5,0.733333333333333,1,0.5,0.873949579831933,1,0.829545454545455
svm_model_N26_B0_E26_nb_zones_4_highest_sv_std_filters_svd,26,0,26,4, highest_sv_std_filters, svd,116,38,38,0.604166666666667,0.197916666666667,0.197916666666667, [0.45833333 0.375      0.54166667 0.5        0.63636364],0.421052631578947,0.368421052631579,0.75,0.982758620689655,0.982758620689655,0.982758620689655,0.592592592592593,0.941176470588235,0.470588235294118,0.538461538461538,1,0.5,0.783783783783784,0.97752808988764,0.765463074070034
svm_model_N32_B0_E32_nb_zones_4_lowest_sv_std_filters_svd,32,0,32,4, lowest_sv_std_filters, svd,118,39,39,0.602040816326531,0.198979591836735,0.198979591836735, [0.5        0.625      0.5        0.5        0.59090909],0.564102564102564,0.538461538461538,0.821428571428571,1,1,1,0.721311475409836,1,0.5,0.7,1,0.5,0.853556485355648,1,0.813829787234043
svm_model_N32_B0_E32_nb_zones_4_highest_sv_std_filters_svd,32,0,32,4, highest_sv_std_filters, svd,122,40,40,0.603960396039604,0.198019801980198,0.198019801980198, [0.53846154 0.45833333 0.54166667 0.54166667 0.54166667],0.475,0.525,0.801980198019802,1,1,1,0.644067796610169,1,0.5,0.688524590163935,1,0.5,0.834710743801653,1,0.801980198019802
svm_model_N40_B0_E40_nb_zones_4_lowest_sv_std_filters_svd,40,0,40,4, lowest_sv_std_filters, svd,118,39,39,0.602040816326531,0.198979591836735,0.198979591836735, [0.5        0.5        0.5        0.45833333 0.5       ],0.333333333333333,0.58974358974359,0.785714285714286,1,1,1,0,0,0.5,0.111111111111111,0.0625,0.509510869565217,0.740740740740741,0.594059405940594,0.79176654507556
svm_model_N40_B0_E40_nb_zones_4_highest_sv_std_filters_svd,40,0,40,4, highest_sv_std_filters, svd,118,39,39,0.602040816326531,0.198979591836735,0.198979591836735, [0.54166667 0.54166667 0.54166667 0.5        0.5       ],0.564102564102564,0.538461538461538,0.821428571428571,1,1,1,0.721311475409836,1,0.5,0.7,1,0.5,0.853556485355648,1,0.813829787234043
ensemble_model_N4_B0_E4_nb_zones_4_highest_sv_std_filters_svd,4,0,4,4, highest_sv_std_filters, svd,116,38,38,0.604166666666667,0.197916666666667,0.197916666666667, [0.54166667 0.625      0.41666667 0.72727273 0.5       ],0.631578947368421,0.552631578947368,0.828125,0.982758620689655,0.982758620689655,0.982758620689655,0.611111111111111,0.611111111111111,0.630555555555556,0.585365853658537,0.571428571428571,0.550420168067227,0.829015544041451,0.824742268041237,0.828160607704829
ensemble_model_N4_B0_E4_nb_zones_4_lowest_sv_std_filters_svd,4,0,4,4, lowest_sv_std_filters, svd,122,40,40,0.603960396039604,0.198019801980198,0.198019801980198, [0.76923077 0.625      0.79166667 0.58333333 0.83333333],0.575,0.475,0.811881188118812,1,1,1,0.653061224489796,0.761904761904762,0.56516290726817,0.553191489361702,0.590909090909091,0.462121212121212,0.825688073394495,0.865384615384615,0.810243328100471
