model_name, vector_size, start, end, nb_zones, metric, mode, tran_size, val_size, test_size, train_pct_size, val_pct_size, test_pct_size, train_acc, val_acc, test_acc, all_acc, F1_train, recall_train, roc_auc_train, F1_val, recall_val, roc_auc_val, F1_test, recall_test, roc_auc_test, F1_all, recall_all, roc_auc_all
svm_model_N4_B0_E4_nb_zones_4_highest_sv_std_filters_svd,4,0,4,4, highest_sv_std_filters, svd,442,147,147,0.600543478260869,0.199728260869565,0.199728260869565, [0.86666667 0.77272727 0.86363636 0.82954545 0.78409091],0.564625850340136,0.605442176870748,0.816576086956522,0.971302428256071,0.995475113122172,0.970588235294117,0.689320388349515,0.91025641025641,0.542084726867336,0.728971962616822,0.939759036144578,0.555817018072289,0.845360824742268,0.965968586387434,0.810667909012926
ensemble_model_N4_B0_E4_nb_zones_4_highest_sv_std_filters_svd,4,0,4,4, highest_sv_std_filters, svd,556,185,185,0.600431965442765,0.199784017278618,0.199784017278618, [0.82142857 0.83928571 0.79464286 0.85454545 0.80909091],0.637837837837838,0.637837837837838,0.827213822894168,0.954225352112676,0.974820143884892,0.953237410071942,0.688372093023256,0.762886597938144,0.631443298969072,0.707423580786026,0.736363636363636,0.614848484848485,0.841897233201581,0.878350515463917,0.82466278607663
ensemble_model_v2_N4_B0_E4_nb_zones_4_highest_sv_std_filters_svd,4,0,4, zones, highest_sv_std_filters, svd,702,234,234,0.6,0.2,0.2, [0.83098592 0.82142857 0.83571429 0.87142857 0.9       ],0.52991452991453,0.568376068376068,0.814529914529915,0.991428571428571,0.988603988603989,0.991452991452991,0.595588235294118,0.716814159292035,0.536093030059241,0.580912863070539,0.666666666666667,0.577519379844961,0.821104699093157,0.875219683655536,0.816145615538251
svm_model_N4_B0_E4_nb_zones_4_highest_sv_std_filters_svdn,4,0,4,4, highest_sv_std_filters, svdn,524,174,174,0.60091743119266,0.19954128440367,0.19954128440367, [0.67924528 0.66037736 0.72115385 0.68269231 0.61538462],0.477011494252874,0.5,0.732798165137615,0.892787524366472,0.874045801526717,0.895038167938931,0.497237569060774,0.50561797752809,0.476338400528751,0.53475935828877,0.537634408602151,0.49721226602947,0.735527809307605,0.72972972972973,0.732855519070472
ensemble_model_N4_B0_E4_nb_zones_4_highest_sv_std_filters_svdn,4,0,4,4, highest_sv_std_filters, svdn,624,208,208,0.6,0.2,0.2, [0.69047619 0.66666667 0.62096774 0.68548387 0.66129032],0.552884615384615,0.538461538461538,0.811538461538461,0.988871224165342,0.996794871794872,0.988782051282051,0.532663316582915,0.524752475247525,0.552095863791987,0.547169811320755,0.532110091743119,0.538782318598832,0.811538461538462,0.808429118773946,0.811550466722881
ensemble_model_v2_N4_B0_E4_nb_zones_4_highest_sv_std_filters_svdn,4,0,4, zones, highest_sv_std_filters, svdn,600,200,200,0.6,0.2,0.2, [0.68333333 0.7        0.66666667 0.71666667 0.70833333],0.585,0.56,0.797,0.945945945945946,0.933333333333333,0.946666666666667,0.587064676616915,0.614583333333333,0.586137820512821,0.568627450980392,0.585858585858586,0.56025602560256,0.796389167502507,0.802020202020202,0.797049704970497
svm_model_N4_B0_E4_nb_zones_4_highest_sv_std_filters_svdne,4,0,4,4, highest_sv_std_filters, svdne,538,179,179,0.600446428571429,0.199776785714286,0.199776785714286, [0.67592593 0.73148148 0.64814815 0.69444444 0.58490566],0.536312849162011,0.430167597765363,0.642857142857143,0.790697674418605,0.947955390334572,0.74907063197026,0.652719665271967,0.857142857142857,0.530844155844156,0.540540540540541,0.681818181818182,0.434315684315684,0.710669077757686,0.877232142857143,0.642857142857143
ensemble_model_N4_B0_E4_nb_zones_4_highest_sv_std_filters_svdne,4,0,4,4, highest_sv_std_filters, svdne,592,197,197,0.600405679513185,0.199797160243408,0.199797160243408, [0.85       0.86440678 0.83898305 0.87288136 0.84745763],0.583756345177665,0.583756345177665,0.833671399594321,1,1,1,0.577319587628866,0.629213483146067,0.587754889721182,0.623853211009174,0.647619047619048,0.57924430641822,0.836653386454183,0.857142857142857,0.833813364055299
ensemble_model_v2_N4_B0_E4_nb_zones_4_highest_sv_std_filters_svdne,4,0,4, zones, highest_sv_std_filters, svdne,522,174,174,0.6,0.2,0.2, [0.80188679 0.83653846 0.77884615 0.90384615 0.78846154],0.574712643678161,0.574712643678161,0.818390804597701,0.980769230769231,0.977011494252874,0.980842911877395,0.531645569620253,0.471910112359551,0.577131526768011,0.506666666666667,0.452380952380952,0.570634920634921,0.809178743961353,0.771889400921659,0.818284150002114
svm_model_N4_B0_E4_nb_zones_6_highest_sv_std_filters_svd,4,0,4,6, highest_sv_std_filters, svd,806,268,268,0.600596125186289,0.199701937406855,0.199701937406855, [0.83950617 0.7654321  0.72839506 0.71875    0.80625   ],0.544776119402985,0.600746268656716,0.812965722801788,0.972772277227723,0.975186104218362,0.972704714640198,0.623456790123457,0.7890625,0.555245535714286,0.682492581602374,0.793103448275862,0.58354359405663,0.829135466303608,0.900887573964497,0.81230564884411
