model_name, vector_size, start, end, nb_zones, metric, mode, tran_size, val_size, test_size, train_pct_size, val_pct_size, test_pct_size, train_acc, val_acc, test_acc, all_acc, F1_train, recall_train, roc_auc_train, F1_val, recall_val, roc_auc_val, F1_test, recall_test, roc_auc_test, F1_all, recall_all, roc_auc_all
svm_model_N5_B0_E5_nb_zones_4_lab_svd_corr_L0_H0,5,0,5,4, lab, svd,942,314,314,0.6,0.2,0.2, [1.         0.99468085 0.99468085 0.98404255 0.96808511],0.506369426751592,0.535031847133758,0.805095541401274,0.994720168954594,1,0.994692144373673,0.6723044397463,1,0.5,0.697095435684647,1,0.5,0.839116719242902,1,0.801813471502591
ensemble_model_N5_B0_E5_nb_zones_4_lab_svd_corr_L0_H0,5,0,5,4, lab, svd,888,296,296,0.6,0.2,0.2, [0.98314607 0.96629213 1.         0.98876404 0.98863636],0.503378378378378,0.493243243243243,0.798648648648649,0.998875140607424,1,0.998873873873874,0.669662921348315,1,0.5,0.660633484162896,1,0.5,0.832207207207207,1,0.798920377867746
ensemble_model_v2_N5_B0_E5_nb_zones_4_lab_svd_corr_L0_H0,5,0,5, zones, lab, svd,940,313,313,0.600255427841635,0.199872286079183,0.199872286079183, [0.96276596 0.9893617  0.96808511 0.97340426 0.9893617 ],0.543130990415335,0.501597444089457,0.809067688378033,1,1,1,0.597183098591549,0.658385093167702,0.539718862373325,0.527272727272727,0.612676056338028,0.511016390742114,0.816,0.857697283311772,0.809680924127513
svm_model_N5_B0_E5_nb_zones_4_lab_svdn_corr_L0_H0,5,0,5,4, lab, svdn,830,276,276,0.600578871201158,0.199710564399421,0.199710564399421, [0.76506024 0.80120482 0.68674699 0.74698795 0.75903614],0.771739130434783,0.735507246376812,0.754703328509407,0.726045883940621,0.648192771084337,0.755421686746988,0.717488789237668,0.645161290322581,0.76008064516129,0.689361702127659,0.609022556390977,0.731084704768915,0.717264386989157,0.639880952380952,0.751630617035547
ensemble_model_N5_B0_E5_nb_zones_4_lab_svdn_corr_L0_H0,5,0,5,4, lab, svdn,808,269,269,0.600297176820208,0.199851411589896,0.199851411589896, [0.74074074 0.75308642 0.77160494 0.78395062 0.71875   ],0.739776951672862,0.762081784386617,0.852154531946508,0.920440636474908,0.930693069306931,0.919554455445545,0.756944444444444,0.879032258064516,0.749860956618465,0.790849673202614,0.876811594202898,0.75901648412435,0.85896527285613,0.90990990990991,0.852749072602014
ensemble_model_v2_N5_B0_E5_nb_zones_4_lab_svdn_corr_L0_H0,5,0,5, zones, lab, svdn,938,312,312,0.600512163892445,0.199743918053777,0.199743918053777, [0.81382979 0.85106383 0.76595745 0.80319149 0.79032258],0.724358974358974,0.778846153846154,0.878361075544174,0.96199782844734,0.94456289978678,0.962686567164179,0.727848101265823,0.723270440251572,0.724380318165002,0.786377708978328,0.747058823529412,0.781980115990058,0.878205128205128,0.858395989974937,0.878805324830401
svm_model_N5_B0_E5_nb_zones_4_lab_svdne_corr_L0_H0,5,0,5,4, lab, svdne,846,282,282,0.6,0.2,0.2, [0.57058824 0.55294118 0.58823529 0.55357143 0.51785714],0.524822695035461,0.471631205673759,0.539007092198582,0.604951560818084,0.664302600472813,0.566193853427896,0.601190476190476,0.706293706293706,0.522211601348292,0.552552552552553,0.681481481481481,0.480196523053666,0.593241551939925,0.676176890156919,0.539780969761111
ensemble_model_N5_B0_E5_nb_zones_4_lab_svdne_corr_L0_H0,5,0,5,4, lab, svdne,986,328,328,0.600487210718636,0.199756394640682,0.199756394640682, [0.97979798 0.99494949 0.96969697 0.95918367 0.97959184],0.463414634146341,0.481707317073171,0.789281364190012,1,1,1,0.516483516483517,0.531073446327684,0.457589703296292,0.540540540540541,0.613496932515337,0.482506042015245,0.798837209302326,0.824729891956783,0.788755551664423
ensemble_model_v2_N5_B0_E5_nb_zones_4_lab_svdne_corr_L0_H0,5,0,5, zones, lab, svdne,896,298,298,0.600536193029491,0.199731903485255,0.199731903485255, [0.77222222 0.75       0.75555556 0.71348315 0.79775281],0.691275167785235,0.697986577181208,0.841823056300268,0.940528634361234,0.953125,0.939732142857143,0.719512195121951,0.781456953642384,0.690048204712349,0.711538461538462,0.755102040816326,0.698743073388296,0.847545219638243,0.879356568364611,0.841823056300268
svm_model_N10_B0_E10_nb_zones_4_lab_svd_corr_L0_H0,10,0,10,4, lab, svd,972,324,324,0.6,0.2,0.2, [0.98469388 0.97938144 0.98969072 0.96391753 0.98453608],0.524691358024691,0.512345679012346,0.80679012345679,0.998972250770812,1,0.998971193415638,0.688259109311741,1,0.5,0.677551020408163,1,0.5,0.840061318344405,1,0.803884711779448
ensemble_model_N10_B0_E10_nb_zones_4_lab_svd_corr_L0_H0,10,0,10,4, lab, svd,846,282,282,0.6,0.2,0.2, [0.98235294 0.98823529 0.97647059 0.97619048 0.97619048],0.514184397163121,0.482269503546099,0.798581560283688,0.998819362455726,1,0.998817966903073,0.642297650130548,0.917910447761194,0.533279548204921,0.617801047120419,0.867647058823529,0.495467365028203,0.823821339950372,0.958152958152958,0.801252211294052
ensemble_model_v2_N10_B0_E10_nb_zones_4_lab_svd_corr_L0_H0,10,0,10, zones, lab, svd,864,288,288,0.6,0.2,0.2, [0.97126437 0.97701149 0.99418605 0.99418605 0.99418605],0.545138888888889,0.53125,0.815277777777778,1,1,1,0.652519893899204,0.76875,0.5171875,0.626038781163435,0.758389261744966,0.523079522958814,0.833957553058677,0.901484480431849,0.812687876839673
svm_model_N10_B0_E10_nb_zones_4_lab_svdn_corr_L0_H0,10,0,10,4, lab, svdn,910,303,303,0.600263852242744,0.199868073878628,0.199868073878628, [0.86263736 0.85164835 0.81868132 0.85714286 0.80769231],0.702970297029703,0.722772277227723,0.79023746701847,0.835616438356164,0.804395604395604,0.841758241758242,0.651162790697674,0.579310344827586,0.697883020515059,0.686567164179105,0.605263157894737,0.723161380271872,0.773181169757489,0.720744680851064,0.789691712153281
ensemble_model_N10_B0_E10_nb_zones_4_lab_svdn_corr_L0_H0,10,0,10,4, lab, svdn,956,318,318,0.600502512562814,0.199748743718593,0.199748743718593, [0.78125    0.76041667 0.765625   0.79473684 0.81052632],0.69811320754717,0.773584905660377,0.855527638190955,0.934873949579832,0.930962343096234,0.935146443514644,0.686274509803922,0.695364238410596,0.697981520402903,0.793103448275862,0.762430939226519,0.775376053554866,0.85678704856787,0.849382716049383,0.855637649584794
ensemble_model_v2_N10_B0_E10_nb_zones_4_lab_svdn_corr_L0_H0,10,0,10, zones, lab, svdn,916,305,305,0.600262123197903,0.199868938401048,0.199868938401048, [0.79347826 0.79891304 0.79891304 0.7967033  0.78571429],0.773770491803279,0.763934426229508,0.849279161205767,0.901439645625692,0.888646288209607,0.902838427947598,0.785046728971963,0.834437086092715,0.774361400189215,0.76158940397351,0.827338129496403,0.769090751495189,0.849279161205767,0.866310160427807,0.849607522373287
svm_model_N10_B0_E10_nb_zones_4_lab_svdne_corr_L0_H0,10,0,10,4, lab, svdne,902,300,300,0.600532623169108,0.199733688415446,0.199733688415446, [0.5989011  0.56111111 0.62222222 0.62222222 0.55      ],0.523333333333333,0.533333333333333,0.63115845539281,0.691695108077361,0.674057649667406,0.699556541019956,0.543130990415335,0.566666666666667,0.523333333333333,0.539473684210526,0.532467532467532,0.533357053904999,0.629679144385027,0.623841059602649,0.631197638235059
ensemble_model_N10_B0_E10_nb_zones_4_lab_svdne_corr_L0_H0,10,0,10,4, lab, svdne,860,286,286,0.600558659217877,0.199720670391061,0.199720670391061, [0.95930233 0.97674419 0.98837209 0.97674419 0.97674419],0.510489510489511,0.552447552447552,0.808659217877095,0.993039443155452,0.995348837209302,0.993023255813954,0.465648854961832,0.417808219178082,0.51247553816047,0.511450381679389,0.471830985915493,0.551887715179969,0.802308802308802,0.774373259052925,0.808755256977443
ensemble_model_v2_N10_B0_E10_nb_zones_4_lab_svdne_corr_L0_H0,10,0,10, zones, lab, svdne,800,266,266,0.600600600600601,0.1996996996997,0.1996996996997, [0.99375 0.9875  0.975   0.9875  1.     ],0.552631578947368,0.533834586466165,0.817567567567567,1,1,1,0.599326599326599,0.640287769784173,0.548490341585,0.553956834532374,0.611111111111111,0.537698412698413,0.823272727272727,0.851127819548872,0.817617882787929
svm_model_N15_B0_E15_nb_zones_4_lab_svd_corr_L0_H0,15,0,15,4, lab, svd,872,290,290,0.600550964187328,0.199724517906336,0.199724517906336, [0.97159091 0.98275862 0.97701149 0.99425287 1.        ],0.520689655172414,0.503448275862069,0.800964187327824,0.993166287015945,1,0.993119266055046,0.684807256235828,1,0.5,0.669724770642202,1,0.5,0.835327635327635,1,0.799026425591099
