model_name, vector_size, start, end, nb_zones, metric, mode, tran_size, val_size, test_size, train_pct_size, val_pct_size, test_pct_size, train_acc, val_acc, test_acc, all_acc, F1_train, recall_train, roc_auc_train, F1_val, recall_val, roc_auc_val, F1_test, recall_test, roc_auc_test, F1_all, recall_all, roc_auc_all
ensemble_model_v2_N40_B80_E120_nb_zones_12_lab_svd,40,80,120,12, lab, svd,654,218,218,0,0,0,0.841025641025641,0.904347826086956,0.921739130434783,0.934389140271493,0.941176470588235,0.929663608562691,0.941896024464832,0.912,0.95,0.902272727272727,0.918918918918919,0.927272727272727,0.921969696969697,0.934240362811792,0.932126696832579,0.934389140271493
ensemble_model_N32_B84_E116_nb_zones_4_lab_svd,32,84,116,4, lab, svd,214,71,71,0,0,0,0.827056277056277,0.873239436619718,0.915492957746479,0.907303370786517,0.913461538461538,0.88785046728972,0.91588785046729,0.88,0.891891891891892,0.87241653418124,0.911764705882353,0.911764705882353,0.915341812400636,0.905982905982906,0.893258426966292,0.907303370786517
ensemble_model_N40_B80_E120_nb_zones_12_lab_svd,40,80,120,12, lab, svd,674,224,224,0,0,0,0.86198419666374,0.904761904761905,0.914285714285714,0.950226244343891,0.962178517397882,0.943620178041543,0.962908011869436,0.905660377358491,0.923076923076923,0.904934687953556,0.912621359223301,0.886792452830189,0.91455007256894,0.949425287356322,0.934389140271493,0.950226244343892
ensemble_model_N26_B87_E113_nb_zones_6_lab_svdne,26,87,113,6, lab, svdne,332,110,110,0,0,0,0.855258467023173,0.872727272727273,0.9,0.914855072463768,0.933333333333333,0.927710843373494,0.933734939759036,0.875,0.942307692307692,0.87632625994695,0.895238095238095,0.979166666666667,0.908938172043011,0.914076782449726,0.93984962406015,0.915729007834271
ensemble_model_v2_N40_B0_E40_nb_zones_12_low_bits_2_svd,40,0,40,12, low_bits_2, svd,670,223,223,0,0,0,0.859701492537313,0.841121495327103,0.906542056074766,0.936651583710407,0.958031837916064,0.988059701492537,0.956716417910448,0.841121495327103,0.818181818181818,0.841783216783217,0.909090909090909,0.961538461538462,0.908041958041958,0.938325991189427,0.963800904977376,0.936651583710407
svm_model_N32_B84_E116_nb_zones_4_lab_svd,32,84,116,4, lab, svd,216,72,72,0,0,0,0.888528138528139,0.819444444444444,0.902777777777778,0.919444444444444,0.958139534883721,0.953703703703704,0.958333333333334,0.811594202898551,0.736842105263158,0.824303405572755,0.892307692307692,0.828571428571429,0.900772200772201,0.916905444126074,0.883977900552486,0.919642581561159
svm_model_N16_B92_E108_nb_zones_8_lab_svdne,16,92,108,8, lab, svdne,416,138,138,0,0,0,0.858188153310105,0.86231884057971,0.898550724637681,0.878612716763006,0.876513317191283,0.870192307692308,0.877403846153846,0.868965517241379,0.887323943661972,0.86157241959218,0.887096774193548,0.916666666666667,0.900641025641025,0.87683284457478,0.882005899705015,0.87868000367687
ensemble_model_N32_B0_E32_nb_zones_12_low_bits_2_svdne,32,0,32,12, low_bits_2, svdne,664,221,221,0,0,0,0.847783808231569,0.754545454545455,0.9,0.909502262443439,0.939828080229226,0.987951807228916,0.936746987951807,0.765217391304348,0.8,0.754545454545455,0.900900900900901,0.909090909090909,0.9,0.913419913419913,0.95475113122172,0.909502262443439
svm_model_N40_B80_E120_nb_zones_8_lab_svd,40,80,120,8, lab, svd,452,150,150,0,0,0,0.871642512077295,0.873333333333333,0.9,0.929521276595745,0.956719817767654,0.929203539823009,0.957964601769911,0.870748299319728,0.842105263157895,0.87375533428165,0.899328859060403,0.893333333333333,0.9,0.927891156462585,0.904509283819629,0.929587975243148
ensemble_model_v2_N8_B96_E104_nb_zones_4_lab_svd,8,96,104,4, lab, svd,234,78,78,0,0,0,0.855434782608696,0.705128205128205,0.897435897435897,0.88974358974359,0.949152542372881,0.957264957264957,0.948717948717949,0.701298701298701,0.710526315789474,0.705263157894737,0.875,0.903225806451613,0.898421413864104,0.885941644562334,0.897849462365591,0.890101201771031
svm_model_N32_B84_E116_nb_zones_10_lab_svdne,32,84,116,10, lab, svdne,572,190,190,0,0,0,0.856473079249849,0.891025641025641,0.897435897435897,0.897058823529412,0.898601398601399,0.898601398601399,0.898601398601399,0.896969696969697,0.925,0.890131578947368,0.893333333333333,0.881578947368421,0.89703947368421,0.897406989853439,0.900452488687783,0.897058823529412
svm_model_N16_B92_E108_nb_zones_10_lab_svdne,16,92,108,10, lab, svdne,566,188,188,0,0,0,0.869454887218045,0.855345911949686,0.886792452830189,0.869909502262443,0.869718309859155,0.872791519434629,0.869257950530035,0.857142857142857,0.851851851851852,0.855413105413105,0.878378378378378,0.833333333333333,0.885802469135802,0.868871151653364,0.861990950226244,0.869909502262443
ensemble_model_N40_B0_E40_nb_zones_12_low_bits_2_svdne,40,0,40,12, low_bits_2, svdne,656,218,218,0,0,0,0.832237762237762,0.833333333333333,0.885964912280702,0.929864253393665,0.956268221574344,1,0.954268292682927,0.834782608695652,0.872727272727273,0.834668721109399,0.890756302521008,0.898305084745763,0.885516178736518,0.932608695652174,0.970588235294117,0.929864253393665
ensemble_model_N32_B84_E116_nb_zones_10_lab_svdne,32,84,116,10, lab, svdne,550,183,183,0,0,0,0.856363636363636,0.790419161676647,0.88622754491018,0.907239819004525,0.948148148148148,0.930909090909091,0.949090909090909,0.808743169398907,0.91358024691358,0.793999425782372,0.897297297297297,0.965116279069768,0.883792707436118,0.909691629955947,0.934389140271493,0.907239819004525
ensemble_model_v2_N4_B98_E102_nb_zones_12_lab_svdne,4,98,102,12, lab, svdne,660,220,220,0,0,0,0.807575757575758,0.767857142857143,0.883928571428571,0.894796380090498,0.919402985074627,0.933333333333333,0.918181818181818,0.783333333333333,0.854545454545455,0.769377990430622,0.892561983471074,0.947368421052632,0.882775119617225,0.897914379802415,0.925339366515837,0.894796380090498
ensemble_model_v2_N26_B87_E113_nb_zones_12_lab_svdne,26,87,113,12, lab, svdne,648,216,216,0,0,0,0.859639423076923,0.796610169491525,0.88135593220339,0.915158371040724,0.942277691107644,0.932098765432099,0.942901234567901,0.80952380952381,0.864406779661017,0.796610169491525,0.883333333333333,0.898305084745763,0.88135593220339,0.915445321307779,0.918552036199095,0.915158371040724
ensemble_model_v2_N16_B92_E108_nb_zones_6_lab_svd,16,92,108,6, lab, svd,332,110,110,0,0,0,0.840106951871658,0.836363636363636,0.881818181818182,0.90036231884058,0.925925925925926,0.903614457831325,0.927710843373494,0.859375,0.932203389830508,0.82884679295447,0.897637795275591,0.890625,0.880095108695652,0.905008635578584,0.906574394463668,0.900055258068336
ensemble_model_N16_B92_E108_nb_zones_6_lab_svd,16,92,108,6, lab, svd,344,114,114,0,0,0,0.880672268907563,0.807017543859649,0.87719298245614,0.905594405594406,0.946745562130178,0.930232558139535,0.947674418604651,0.807017543859649,0.754098360655738,0.811011444478812,0.872727272727273,0.813559322033898,0.879506933744222,0.903914590747331,0.86986301369863,0.906360078277887
